id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,coordinate
8.13E+17,Serviced apartment in New York · 2 bedrooms · 4 beds · 2 baths,496932087,Reservations,Manhattan,Lower East Side,Entire home/apt,424,1,0,,,51,101,0,Exempt,"40.7206808328123,-73.9875054591341"
8.13001E+17,Serviced apartment in New York · 2 bedrooms · 4 beds · 2 baths,496932087,Reservations,Manhattan,Lower East Side,Entire home/apt,424,1,0,,,51,101,0,Exempt,"40.7203898968846,-73.9869968612151"
8.13002E+17,Hotel in New York · 1 bedroom · 1 bed · 1 bath,496944100,RoomPicks,Manhattan,SoHo,Private room,655,1,0,,,307,60,0,Exempt,"40.720242361552,-73.9990430908162"
8.13002E+17,Serviced apartment in New York · 2 bedrooms · 4 beds · 2 baths,496932087,Reservations,Manhattan,Lower East Side,Entire home/apt,424,1,1,4/22/2023,0.18,51,101,1,Exempt,"40.7186985581618,-73.9883273741006"
8.13002E+17,Hotel in New York · 1 bedroom · 1 bed · 1 bath,496944100,RoomPicks,Manhattan,Little Italy,Private room,655,1,0,,,307,60,0,Exempt,"40.7191276077451,-73.9989267705418"
8.13002E+17,Hotel in New York · 1 bedroom · 1 bed · 1 bath,496944100,RoomPicks,Manhattan,SoHo,Private room,655,1,0,,,307,60,0,Exempt,"40.7207538435591,-73.9997296223574"
8.13006E+17,Serviced apartment in New York · 1 bedroom · 1 bed · 1 bath,496932087,Reservations,Manhattan,Lower East Side,Entire home/apt,339,1,0,,,51,101,0,Exempt,"40.7190875049825,-73.9872735218941"
8.13006E+17,Serviced apartment in New York · ★4.0 · 1 bedroom · 1 bed · 1 bath,496932087,Reservations,Manhattan,Lower East Side,Entire home/apt,424,1,4,5/14/2023,0.52,51,101,4,Exempt,"40.719066155463,-73.9872861301052"
8.13007E+17,Serviced apartment in New York · 1 bedroom · 1 bed · 1 bath,496932087,Reservations,Manhattan,Lower East Side,Entire home/apt,339,1,0,,,51,101,0,Exempt,"40.7206838299522,-73.9870539415231"
8.13008E+17,Hotel in New York · 1 bedroom · 1 bed · 1 bath,496944100,RoomPicks,Manhattan,SoHo,Private room,388,1,0,,,307,68,0,Exempt,"40.7189584899506,-74.0003291512058"
8.13008E+17,Serviced apartment in New York · 1 bedroom · 2 beds · 1 bath,496932087,Reservations,Manhattan,Lower East Side,Entire home/apt,339,1,0,,,51,101,0,Exempt,"40.72034,-73.98894"
8.13009E+17,Serviced apartment in New York · 1 bedroom · 2 beds · 1 bath,496932087,Reservations,Manhattan,Lower East Side,Entire home/apt,424,1,0,,,51,101,0,Exempt,"40.7187599232447,-73.9877088226022"
8.13009E+17,Serviced apartment in New York · 1 bedroom · 2 beds · 1 bath,496932087,Reservations,Manhattan,Lower East Side,Entire home/apt,339,1,1,9/24/2023,1,51,101,1,Exempt,"40.7195231671712,-73.9869293176912"
8.13013E+17,Serviced apartment in New York · 1 bedroom · 1 bed · 1 bath,496932087,Reservations,Manhattan,Lower East Side,Entire home/apt,424,1,0,,,51,101,0,Exempt,"40.7202668749522,-73.9889787206662"
8.13013E+17,Serviced apartment in New York · 1 bedroom · 1 bed · 1 bath,496932087,Reservations,Manhattan,Lower East Side,Entire home/apt,339,1,0,,,51,101,0,Exempt,"40.7187270421105,-73.9872777507184"
8.13015E+17,Serviced apartment in New York · 1 bedroom · 1 bed · 1 bath,496932087,Reservations,Manhattan,Lower East Side,Entire home/apt,339,1,0,,,51,101,0,Exempt,"40.7208128255897,-73.9871270395885"
